id,name,brand,category,image,price,description,isNew,trending,upcomingRelease,releaseDate
1,Skeleton FX,BaByliss PRO,Trimmers,skeleton-fx,149.99,"Lightweight skeleton-style outliner trimmer with a precision T-blade. A barber shop staple.",false,true,false,
2,Senior Cordless,Wahl,Clippers,wahl-senior,189.99,"Iconic Wahl Senior in a cordless build. Premium V9000 motor for serious power.",false,true,false,
3,GTX-Z,Andis,Trimmers,gtx-z,129.99,"Slim zero-gapped trimmer with a deep-tooth blade. Built for sharp lines and bald fades.",false,true,false,
4,Boosted+ Trimmer,Gamma+,Trimmers,boosted,179.99,"High-torque magnetic motor trimmer. Boosted+ delivers extra cutting power.",true,false,false,2026-02-01
5,Saber Trimmer,StyleCraft,Trimmers,saber,159.99,"All-new from StyleCraft. Slim profile with the speed of a magnetic motor.",true,true,false,2026-04-15
6,Fresh Fade 2020C,JRL,Clippers,fresh-fade-2020c,229.99,"Pro-grade clipper from JRL. Cordless freedom with corded power.",false,false,false,
7,Power Clip,Tomb45,Clippers,power-clip,219.99,"Tomb45 Power Clip with PowerClip wireless charging. Performance meets innovation.",true,false,false,2026-03-10
8,Prodigy,Supreme Trimmer,Trimmers,prodigy,99.99,"Affordable pro-level trimmer. The Prodigy punches above its price.",false,false,false,
9,Magic Clip Cordless,Wahl,Clippers,magic-clip,169.99,"The legendary 5-Star Magic Clip cordless. Stagger-tooth blade for blending and fading.",false,true,false,
10,Absolute Zero,StyleCraft,Trimmers,absolute-zero,189.99,"Zero-gapped from the factory. Premium build with a powerful motor.",false,false,false,
11,Fade Brush,Tomb45,Brushes,fade-brush,29.99,"The original fade brush — clears hair from blades and cape. Barber essential.",false,true,false,
12,Gold FX Clipper,BaByliss PRO,Clippers,gold-fx,229.99,"Iconic gold finish. The FX Clipper with the looks to match the performance.",false,true,false,
13,Ergo Clipper,Gamma+,Clippers,ergo,179.99,"Ergonomic grip designed for all-day comfort. Pro magnetic motor.",false,false,false,
14,Stinger Guards,Andis,Guards,stinger-guards,24.99,"Premium guard set for the Andis Stinger. Precision sizing for accurate fades.",false,false,false,
15,X-Ergo Trimmer,Gamma+,Trimmers,x-ergo,189.99,"The next evolution of the Ergo. Ships May 2026.",false,false,true,2026-05-01
16,FF2020T Trimmer,JRL,Trimmers,ff2020t,209.99,"JRL's upcoming FF2020T trimmer. Pre-order info coming soon.",false,false,true,2026-06-15
17,Blade Ice,Andis,Blades,blade-ice,14.99,"Coolant spray for clipper and trimmer blades. Keep your tools running cool.",false,false,false,
18,Pro Cape,BaByliss PRO,Capes & Aprons,cape,39.99,"Lightweight pro cape. Hair-resistant fabric, fits any chair.",false,false,false,
19,JRL x Lamborghini Diamante Kit (Black),JRL,Clippers,jrl-lamborghini-black,999.00,"Limited edition JRL x Lamborghini collaboration. Includes the Diamante clipper and trimmer with a diamond-cut black finish and premium presentation case. Signature drop for the serious collector.",true,true,false,
20,JRL Onyx Cordless Clipper,JRL,Clippers,jrl-onyx,259.00,"JRL's matte black Onyx edition cordless clipper. Premium build with the proven Fresh Fade motor.",true,true,false,
21,Wahl 5-Star Vapor Cordless Clipper,Wahl,Clippers,wahl-vapor,179.00,"Chrome-finished Wahl 5-Star Vapor with signature cordless power. A head-turner on the barber station.",true,false,false,
22,Gamma+ Boosted Up Modular Super Torque Clipper,Gamma+,Clippers,gamma-boosted-up,269.00,"Gamma+'s flagship Boosted Up — modular design with interchangeable lids and super-torque motor.",true,true,false,
23,JRL Ghost Clipper Trimmer & Foil Shaver Kit,JRL,Clippers,jrl-ghost-kit,599.00,"Complete 3-piece JRL Ghost kit — cordless clipper, trimmer and foil shaver in translucent white. Pro kit in a box.",true,true,false,
24,Wahl Magic Clip Cordless (Black),Wahl,Clippers,magic-clip-black,159.00,"The legendary 5-Star Magic Clip in a full black finish. Stagger-tooth blade, cordless freedom.",false,true,false,
25,JRL Ghost Cordless Clipper,JRL,Clippers,jrl-ghost,279.00,"JRL Ghost Professional cordless clipper in translucent white. Pro power with a unique aesthetic.",true,true,false,
26,BaByliss PRO Super Motor Skeleton FX Trimmer,BaByliss PRO,Trimmers,babyliss-super-skeleton,169.00,"Super motor upgrade to the Skeleton FX. More torque, more cutting power, same skeleton silhouette.",true,false,false,
27,Wahl Hi-Viz Trimmer,Wahl,Trimmers,wahl-hi-viz,89.00,"High-visibility orange Wahl trimmer. Fun colour, serious precision outlining.",false,false,false,
